Mateus Leme (MG);247
Ituverava (SP);247
Jales (SP);247
Quixadá (CE);246
José Bonifácio (SP);246
Monte Mor (SP);246
Nova Petrópolis (RS);246
Manhuaçu (MG);245
Coxim (MS);245
Iporá (GO);244
Eusébio (CE);243
Santana (BA);243
Salgueiro (PE);242
Várzea Grande (PI);241
Tianguá (CE);241
Coruripe (AL);241
Jandira (SP);241
Olímpia (SP);241
Padre Paraíso (MG);240
Guaíra (PR);239
Mandaguaçu (PR);239
Montenegro (RS);239
Isaías Coelho (PI);238
Lins (SP);238
Farroupilha (RS);238
Paulistana (PI);237
Camboriú (SC);237
Joaçaba (SC);237
Capitão Poço (PA);236
Paiçandu (PR);236
Planaltina (GO);236
Belo Jardim (PE);235
Campinas do Piauí (PI);234
Cocal (PI);234
Açu (RN);234
Januária (MG);234
Naviraí (MS);234
Inhumas (GO);234
Marabá (PA);233
Jaguarari (BA);233
Mariana (MG);233
São Mateus do Sul (PR);233
Barão de Cotegipe (RS);233
Baixa Grande do Ribeiro (PI);231
Itatiba (SP);231
Prudentópolis (PR);231
Camaquã (RS);231
Encantado (RS);230
Santa Helena de Goiás (GO);229
Canaã dos Carajás (PA);228
São Lourenço da Mata (PE);228
Dracena (SP);228
Rio Brilhante (MS);228
Canindé (CE);227
Castro Alves (BA);227
Miguel Calmon (BA);227
Roque Gonzales (RS);227
Jaraguá (GO);227
Campo Verde (MT);225
Nova Santa Rita (PI);224
São Miguel do Oeste (SC);224
Cruz Alta (RS);224
Macaíba (RN);223
Mata de São João (BA);223
Jacarezinho (PR);223
Urussanga (SC);223
Lapa (PR);222
Paranaíba (MS);222
Cruz das Almas (BA);221
Abreu e Lima (PE);220
Santo Estêvão (BA);220
Registro (SP);220
Ivaiporã (PR);220
Ibirapuitã (RS);220
Manoel Viana (RS);220
São Gabriel (RS);220
Água Boa (MT);220
Alta Floresta (MT);220
Caldas Novas (GO);220
Porangatu (GO);220
Santa Cruz do Rio Pardo (SP);218
Guaxupé (MG);217
Ibirama (SC);217
Caibaté (RS);217
Cruzeiro do Sul (RS);217
Chapadão do Sul (MS);217
Águas Lindas de Goiás (GO);217
Monte Azul (MG);216
Santo Antônio de Pádua (RJ);216
Coqueiros do Sul (RS);216
Colinas do Tocantins (TO);215
Açailândia (MA);215
Cataguases (MG);215
Montezuma (MG);215
Colorado (PR);215
Cotiporã (RS);215
Bela Vista (MS);215
Nova Xavantina (MT);215
Boninal (BA);213
Caratinga (MG);213
Ubá (MG);213
Piraí (RJ);213
Palmas (PR);213
Morrinhos (GO);213
Patos (PB);212
Catende (PE);212
Anchieta (ES);212
Jaguariúna (SP);212
Içara (SC);212
Uruaçu (GO);212
Goiatuba (GO);211
Capão Bonito (SP);210
Presidente Venceslau (SP);210
Ivaí (PR);210
Nova Venécia (ES);209
Canela (RS);209
Pirapó (RS);209
São Luís de Montes Belos (GO);209
Floriano (PI);208
Santa Cruz do Capibaribe (PE);208
Garça (SP);208
Rio Negrinho (SC);208
Paraguaçu Paulista (SP);207
Barra Velha (SC);207
Afogados da Ingazeira (PE);206
Loanda (PR);206
Pederneiras (SP);205
Imbituva (PR);205
Nova Esperança (PR);205
Esteio (RS);205
Garibaldi (RS);205
Dias d'Ávila (BA);204
Quirinópolis (GO);204
Rondon do Pará (PA);203
Carmo do Cajuru (MG);203
Porto Feliz (SP);203
Presidente Epitácio (SP);203
Santo Antônio da Platina (PR);203
Curitibanos (SC);203
Ceará-Mirim (RN);202
Bom Jesus da Lapa (BA);202
Senhor do Bonfim (BA);202
Braço do Norte (SC);202
Bariri (SP);201
Alegrete (RS);201
Santo Antônio do Descoberto (GO);201
Raposa (MA);200
Ipu (CE);200
Estância (SE);200
Iraquara (BA);200
Itatim (BA);200
Mamonas (MG);200
Entre Rios do Oeste (PR);200
Ubiratã (PR);200
Tijucas (SC);200
Carlos Barbosa (RS);200
Estrela Velha (RS);200
Floriano Peixoto (RS);200
Pontão (RS);200
Pacatuba (CE);199
Carpina (PE);199
Itiúba (BA);199
Alto Alegre (RS);199
Itarema (CE);198
Quatro Barras (PR);198
Juína (MT);198
Piripiri (PI);197
Bom Conselho (PE);197
Serrolândia (BA);197
Paraty (RJ);197
Descalvado (SP);197
Altamira (PA);196
Euclides da Cunha (BA);196
São Pedro (SP);196
Caicó (RN);195
Leopoldina (MG);195
Batalha (PI);194
Serra do Mel (RN);194
Arcoverde (PE);194
Itabaiana (SE);193
Bom Sucesso (MG);193
São Borja (RS);193
Rio Largo (AL);192
Mococa (SP);191
Cocal do Sul (SC);191
Acaraú (CE);190
Correntina (BA);190
São Lourenço (MG);190
São Mateus (ES);190
Laranjeiras do Sul (PR);190
São Miguel dos Campos (AL);189
Conceição do Coité (BA);189
Santa Bárbara (BA);189
Mirandópolis (SP);189
Astorga (PR);189
Cruzeiro do Sul (AC);188
Campo Formoso (BA);188
Santa Clara do Sul (RS);188
Santa Inês (MA);187
Águas Belas (PE);187
Quedas do Iguaçu (PR);187
Mambaí (GO);187
Catu (BA);186
Santa Terezinha (BA);186
Estância Velha (RS);186
Garruchos (RS);186
Ivinhema (MS);186
Cosmópolis (SP);185
Santa Fé do Sul (SP);184
Balsa Nova (PR);184
Palmeira (PR);184
Vicente Dutra (RS);184
Conceição da Barra (ES);183
São Sebastião do Caí (RS);183
Monte Carmelo (MG);182
Piumhi (MG);182
Ilha Solteira (SP);182
Itacoatiara (AM);181
Jequitinhonha (MG);181
Doutor Maurício Cardoso (RS);181
Tupaciguara (MG);180
Ernestina (RS);180
São José das Missões (RS);180
Geminiano (PI);179
Biguaçu (SC);179
José de Freitas (PI);178
Taiobeiras (MG);178
Barra Bonita (SP);177
Piedade (SP);177
São Manuel (SP);177
Mercedes (PR);177
Cidreira (RS);177
Vale do Sol (RS);177
Pedro II (PI);176
Ipiaú (BA);176
Oliveira (MG);176
Candelária (RS);176
Jardim (MS);176
Jaicós (PI);175
Currais Novos (RN);175
Boa Esperança (MG);175
Três Marias (MG);175
Pilar do Sul (SP);175
São Nicolau (RS);175
Palmeira das Missões (RS);174
Matozinhos (MG);173
São Gonçalo dos Campos (BA);172
Engenheiro Navarro (MG);172
Santa Cruz das Palmeiras (SP);172
Barcarena (PA);171
Oeiras (PI);171
Redenção (CE);171
João Pinheiro (MG);171
Adamantina (SP);171
Cruzeiro do Oeste (PR);171
Riqueza (SC);171
Nova Araçá (RS);171
Bezerros (PE);170
Fátima (BA);170
Valença (RJ);170
Itararé (SP);170
Orlândia (SP);170
Rio Branco do Sul (PR);170
Nova Bassano (RS);170
Serafina Corrêa (RS);170
Santa Quitéria (CE);169
Capitão Enéas (MG);169
Goianira (GO);169
Oriximiná (PA);168
Balsas (MA);168
Ibaté (SP);168
Osvaldo Cruz (SP);168
Bombinhas (SC);168
Itaquiraí (MS);168
Santa Rosa do Piauí (PI);167
Itamaraju (BA);167
Sarzedo (MG);167
Mairinque (SP);167
Porto União (SC);167
Posse (GO);167
Quijingue (BA);166
Ouro Fino (MG);166
Casimiro de Abreu (RJ);166
Vassouras (RJ);166
Ilha Comprida (SP);166
Ariquemes (RO);165
Ubajara (CE);165
Surubim (PE);165
Caetité (BA);165
Barra de São Francisco (ES);165
Espírito Santo do Pinhal (SP);165
Itápolis (SP);165
São João Batista (SC);165
Pontes e Lacerda (MT);165
Piracuruca (PI);164
Gramado (RS);164
Nicolau Vergueiro (RS);164
Novo Cabrais (RS);164
Aracati (CE);163
Cruz (CE);163
Brejinho (PE);163
Artur Nogueira (SP);163
Iguape (SP);163
Água Fria (BA);162
Valença (BA);162
Videira (SC);162
Gilbués (PI);161
Japeri (RJ);161
Cravinhos (SP);161
Laguna (SC);161
Confresa (MT);161
Bacabal (MA);160
Conceição da Feira (BA);160
Guajeru (BA);160
Rancharia (SP);160
Jaguariaíva (PR);160
Campos Novos (SC);160
Itaiópolis (SC);160
Marau (RS);160
Monte Belo do Sul (RS);160
Torres (RS);160
Angatuba (SP);159
Ivoti (RS);159
Costa Rica (MS);159
Russas (CE);158
Ipojuca (PE);158
Palmeiras (BA);158
Arcos (MG);158
Coromandel (MG);158
São Gotardo (MG);158
Pinheiral (RJ);158
Brotas (SP);158
Rio Grande da Serra (SP);158
Ampére (PR);158
Marques de Souza (RS);158
Tremembé (SP);157
Santo Antônio da Patrulha (RS);157
Juara (MT);157
Santana (AP);156
Corrente (PI);156
Viçosa do Ceará (CE);156
Terra Roxa (PR);156
Fazenda Vilanova (RS);156
Tabira (PE);155
Miguel Pereira (RJ);155
Colina (SP);155
Balneário Arroio do Silva (SC);155
Fraiburgo (SC);155
Soledade (RS);155
Juruti (PA);154
Livramento de Nossa Senhora (BA);154
Extrema (MG);154
Terra Boa (PR);154
Campo Novo do Parecis (MT);154
Goiana (PE);153
Boituva (SP);153
Cambará (PR);153
Aparecida do Taboado (MS);153
Itaitinga (CE);152
Pacajus (CE);152
São Gonçalo do Amarante (CE);152
Craíbas (AL);152
Poções (BA);152
Passo do Sobrado (RS);152
Horizonte (CE);151
Tauá (CE);151
Araripina (PE);151
Igaci (AL);151
Diamantina (MG);151
Morro da Fumaça (SC);151
Nova Prata (RS);151
Porto Vera Cruz (RS);151
Curuçá (PA);150
Penedo (AL);150
Paripiranga (BA);150
Ouro Branco (MG);150
Pompéu (MG);150
Carmo (RJ);150
Aguaí (SP);150
Bom Jesus dos Perdões (SP);150
Junqueirópolis (SP);150
Novo Horizonte (SP);150
Tambaú (SP);150
Tietê (SP);150
Candiota (RS);150
