Jordão (AC);-;-;-
Mâncio Lima (AC);-;-;-
Manoel Urbano (AC);-;-;-
Marechal Thaumaturgo (AC);-;-;-
Plácido de Castro (AC);-;-;-
Porto Walter (AC);-;-;-
Rio Branco (AC);-;287;-
Rodrigues Alves (AC);-;-;-
Santa Rosa do Purus (AC);-;-;-
Senador Guiomard (AC);-;-;-
Sena Madureira (AC);-;-;-
Tarauacá (AC);-;-;-
Xapuri (AC);-;-;-
Porto Acre (AC);-;-;-
Alvarães (AM);-;-;-
Amaturá (AM);-;-;-
Anamã (AM);-;-;-
Anori (AM);-;-;-
Apuí (AM);-;-;-
Atalaia do Norte (AM);-;-;-
Autazes (AM);-;-;-
Barcelos (AM);-;-;-
Barreirinha (AM);-;-;-
Benjamin Constant (AM);-;-;-
Beruri (AM);-;-;-
Boa Vista do Ramos (AM);-;-;-
Boca do Acre (AM);-;-;-
Borba (AM);-;-;-
Caapiranga (AM);-;-;-
Canutama (AM);-;-;-
Carauari (AM);-;-;-
Careiro (AM);-;-;-
Careiro da Várzea (AM);-;-;-
Coari (AM);-;-;-
Eirunepé (AM);-;-;-
Envira (AM);-;-;-
Fonte Boa (AM);-;-;-
Guajará (AM);-;-;-
Humaitá (AM);-;-;-
Ipixuna (AM);-;-;-
Iranduba (AM);-;-;-
Itacoatiara (AM);-;-;-
Itamarati (AM);-;-;-
Itapiranga (AM);-;-;-
Japurá (AM);-;-;-
Juruá (AM);-;-;-
Jutaí (AM);-;-;-
Manacapuru (AM);-;-;-
Manaquiri (AM);-;-;-
Manaus (AM);-;529;-
Manicoré (AM);-;-;-
Maraã (AM);-;-;-
Maués (AM);-;-;-
Nhamundá (AM);-;-;-
Nova Olinda do Norte (AM);-;-;-
Novo Airão (AM);-;-;-
Novo Aripuanã (AM);-;-;-
Parintins (AM);-;-;-
Pauini (AM);-;-;-
Presidente Figueiredo (AM);-;-;-
Rio Preto da Eva (AM);-;-;-
Santa Isabel do Rio Negro (AM);-;-;-
Santo Antônio do Içá (AM);-;-;-
São Gabriel da Cachoeira (AM);-;-;-
São Paulo de Olivença (AM);-;-;-
São Sebastião do Uatumã (AM);-;-;-
Silves (AM);-;-;-
Tabatinga (AM);-;-;-
Tapauá (AM);-;-;-
Tefé (AM);-;-;-
Tonantins (AM);-;-;-
Uarini (AM);-;-;-
Urucará (AM);-;-;-
Urucurituba (AM);-;-;-
Amajari (RR);-;-;-
Boa Vista (RR);-;882;-
Bonfim (RR);-;-;-
Cantá (RR);-;-;-
Caracaraí (RR);-;40;-
Caroebe (RR);-;-;-
Mucajaí (RR);-;23;-
Normandia (RR);-;-;-
Pacaraima (RR);-;-;-
Rorainópolis (RR);-;-;-
São João da Baliza (RR);-;-;-
São Luiz (RR);-;-;-
Uiramutã (RR);-;-;-
Abaetetuba (PA);-;-;-
Abel Figueiredo (PA);-;-;-
Acará (PA);-;-;-
Afuá (PA);-;-;-
Água Azul do Norte (PA);-;-;-
Alenquer (PA);-;-;-
Almeirim (PA);-;67;-
Altamira (PA);-;-;-
Anajás (PA);-;-;-
Ananindeua (PA);-;-;-
Anapu (PA);-;-;-
Augusto Corrêa (PA);-;-;-
Aurora do Pará (PA);-;-;-
Aveiro (PA);-;-;-
Bagre (PA);-;-;-
Baião (PA);-;-;-
Bannach (PA);-;-;-
Barcarena (PA);-;-;-
Belterra (PA);-;-;-
Benevides (PA);-;-;-
Bom Jesus do Tocantins (PA);-;-;-
Bonito (PA);-;-;-
Bragança (PA);-;-;-
Brasil Novo (PA);-;-;-
Brejo Grande do Araguaia (PA);-;-;-
Breu Branco (PA);-;-;-
Breves (PA);-;-;-
Bujaru (PA);-;-;-
Cachoeira do Piriá (PA);-;-;-
Cachoeira do Arari (PA);-;-;-
Cametá (PA);-;-;-
Canaã dos Carajás (PA);-;213;-
Capanema (PA);-;-;-
Capitão Poço (PA);-;-;-
Castanhal (PA);-;-;-
Chaves (PA);-;-;-
Colares (PA);-;-;-
Conceição do Araguaia (PA);-;-;-
Concórdia do Pará (PA);-;-;-
Cumaru do Norte (PA);-;-;-
Curionópolis (PA);-;-;-
Curralinho (PA);-;-;-
Curuá (PA);-;-;-
Curuçá (PA);-;-;-
Dom Eliseu (PA);-;-;-
Eldorado do Carajás (PA);-;-;-
Faro (PA);-;-;-
Floresta do Araguaia (PA);-;-;-
Garrafão do Norte (PA);-;-;-
Goianésia do Pará (PA);-;-;-
Gurupá (PA);-;-;-
Igarapé-Açu (PA);-;-;-
Igarapé-Miri (PA);-;-;-
Inhangapi (PA);-;-;-
Ipixuna do Pará (PA);-;-;-
Irituia (PA);-;-;-
Itaituba (PA);-;-;-
Itupiranga (PA);-;-;-
Jacareacanga (PA);-;12;-
Jacundá (PA);-;-;-
Juruti (PA);-;-;-
Limoeiro do Ajuru (PA);-;-;-
Mãe do Rio (PA);-;-;-
Magalhães Barata (PA);-;-;-
Marabá (PA);-;-;-
Maracanã (PA);-;-;-
Marapanim (PA);-;-;-
Marituba (PA);-;-;-
Medicilândia (PA);-;-;-
Melgaço (PA);-;-;-
Mocajuba (PA);-;-;-
Moju (PA);-;-;-
Mojuí dos Campos (PA);-;-;-
Monte Alegre (PA);-;-;-
Muaná (PA);-;-;-
Nova Esperança do Piriá (PA);-;-;-
Nova Ipixuna (PA);-;-;-
Nova Timboteua (PA);-;-;-
Novo Progresso (PA);-;-;-
Novo Repartimento (PA);-;-;-
Óbidos (PA);-;-;-
Oeiras do Pará (PA);-;-;-
Oriximiná (PA);-;20;-
Ourém (PA);-;-;-
Ourilândia do Norte (PA);-;-;-
Pacajá (PA);-;-;-
Palestina do Pará (PA);-;-;-
Paragominas (PA);-;22;3
Parauapebas (PA);-;49;-
Pau D'Arco (PA);-;-;-
Peixe-Boi (PA);-;-;-
Piçarra (PA);-;-;-
Placas (PA);-;-;-
Ponta de Pedras (PA);-;-;-
Portel (PA);-;-;-
Porto de Moz (PA);-;-;-
Prainha (PA);-;-;-
Primavera (PA);-;-;-
Quatipuru (PA);-;-;-
Redenção (PA);-;25;-
Rio Maria (PA);-;-;-
Rondon do Pará (PA);-;-;-
Rurópolis (PA);-;-;-
Salinópolis (PA);-;-;-
Salvaterra (PA);-;-;-
Santa Bárbara do Pará (PA);-;-;-
Santa Cruz do Arari (PA);-;-;-
Santa Izabel do Pará (PA);-;-;-
Santa Luzia do Pará (PA);-;-;-
Santa Maria das Barreiras (PA);-;-;-
Santa Maria do Pará (PA);-;-;-
Santana do Araguaia (PA);-;-;-
Santarém (PA);-;-;-
Santarém Novo (PA);-;-;-
Santo Antônio do Tauá (PA);-;-;-
São Caetano de Odivelas (PA);-;-;-
São Domingos do Araguaia (PA);-;-;-
São Domingos do Capim (PA);-;-;-
São Félix do Xingu (PA);-;-;-
São Francisco do Pará (PA);-;-;-
São Geraldo do Araguaia (PA);-;29;-
São João da Ponta (PA);-;-;-
São João de Pirabas (PA);-;-;-
São João do Araguaia (PA);-;-;-
São Miguel do Guamá (PA);-;-;-
São Sebastião da Boa Vista (PA);-;-;-
Sapucaia (PA);-;-;-
Senador José Porfírio (PA);-;-;-
Soure (PA);-;-;-
Tailândia (PA);-;-;-
Terra Alta (PA);-;-;-
Terra Santa (PA);-;-;-
Tomé-Açu (PA);-;-;-
Tracuateua (PA);-;-;-
Trairão (PA);-;-;-
Tucumã (PA);-;-;-
Tucuruí (PA);-;40;-
Ulianópolis (PA);-;-;-
Uruará (PA);-;-;-
Vigia (PA);-;-;-
Viseu (PA);-;-;-
Vitória do Xingu (PA);-;73;-
Xinguara (PA);-;-;-
Pedra Branca do Amapari (AP);-;-;-
Calçoene (AP);-;-;-
Cutias (AP);-;-;-
Ferreira Gomes (AP);-;-;-
Itaubal (AP);-;-;-
Laranjal do Jari (AP);-;-;-
Porto Grande (AP);-;-;-
Pracuúba (AP);-;-;-
Tartarugalzinho (AP);-;-;-
Vitória do Jari (AP);-;-;-
Abreulândia (TO);-;-;-
Aguiarnópolis (TO);-;10;-
Aliança do Tocantins (TO);-;-;-
Almas (TO);-;-;-
Alvorada (TO);-;-;-
Ananás (TO);-;-;-
Angico (TO);-;-;-
Aparecida do Rio Negro (TO);-;-;-
Aragominas (TO);-;-;-
Araguacema (TO);-;-;-
Araguaçu (TO);-;-;-
Araguaína (TO);-;308;-
Araguanã (TO);-;-;-
Araguatins (TO);-;-;-
Arapoema (TO);-;-;-
Arraias (TO);-;-;-
Augustinópolis (TO);-;8;-
Aurora do Tocantins (TO);-;-;-
Axixá do Tocantins (TO);-;10;-
Babaçulândia (TO);-;-;-
Bandeirantes do Tocantins (TO);-;-;-
Barra do Ouro (TO);-;-;-
Barrolândia (TO);-;-;-
Bernardo Sayão (TO);-;-;-
Bom Jesus do Tocantins (TO);-;-;-
Brasilândia do Tocantins (TO);-;-;-
Brejinho de Nazaré (TO);-;-;-
Buriti do Tocantins (TO);-;-;-
Cachoeirinha (TO);-;-;-
Campos Lindos (TO);-;-;-
Cariri do Tocantins (TO);-;-;-
Carmolândia (TO);-;-;-
Carrasco Bonito (TO);-;4;-
Caseara (TO);-;-;-
Centenário (TO);-;-;-
Chapada de Areia (TO);-;-;-
Chapada da Natividade (TO);-;-;-
Colinas do Tocantins (TO);-;129;-
Combinado (TO);-;-;-
Conceição do Tocantins (TO);-;-;-
Couto Magalhães (TO);-;-;-
Cristalândia (TO);-;-;-
Crixás do Tocantins (TO);-;-;-
Darcinópolis (TO);-;-;-
Dianópolis (TO);-;-;-
Divinópolis do Tocantins (TO);-;-;-
Dois Irmãos do Tocantins (TO);-;-;-
Dueré (TO);-;-;-
Esperantina (TO);-;-;-
Fátima (TO);-;-;-
Figueirópolis (TO);-;-;-
Filadélfia (TO);-;-;-
Formoso do Araguaia (TO);-;-;-
Tabocão (TO);-;-;-
Goianorte (TO);-;-;-
Goiatins (TO);-;-;-
Guaraí (TO);-;107;-
Gurupi (TO);-;139;-
Ipueiras (TO);-;-;-
Itacajá (TO);-;12;-
Itaguatins (TO);-;-;-
Itapiratins (TO);-;-;-
Itaporã do Tocantins (TO);-;-;-
Jaú do Tocantins (TO);-;-;-
Juarina (TO);-;-;-
Lagoa da Confusão (TO);-;-;-
Lagoa do Tocantins (TO);-;-;-
Lajeado (TO);-;-;-
Lavandeira (TO);-;-;-
Lizarda (TO);-;-;-
Luzinópolis (TO);-;-;-
Marianópolis do Tocantins (TO);-;-;-
Mateiros (TO);-;-;-
Maurilândia do Tocantins (TO);-;-;-
Miracema do Tocantins (TO);-;-;-
Miranorte (TO);-;-;-
Monte do Carmo (TO);-;-;-
Monte Santo do Tocantins (TO);-;-;-
Palmeiras do Tocantins (TO);-;-;-
Muricilândia (TO);-;-;-
Natividade (TO);-;-;-
Nazaré (TO);-;-;-
Nova Olinda (TO);-;-;-
Nova Rosalândia (TO);-;-;-
Novo Acordo (TO);-;-;-
Novo Alegre (TO);-;-;-
Novo Jardim (TO);-;-;-
Oliveira de Fátima (TO);-;-;-
Palmeirante (TO);-;-;-
Palmeirópolis (TO);-;-;-
Paraíso do Tocantins (TO);-;59;-
Paranã (TO);-;-;-
Pau D'Arco (TO);-;-;-
Pedro Afonso (TO);-;-;-
Peixe (TO);-;7;-
